,Código IBGE,UF,MUNICiPIO,CoDIGO_NACIONAL
59,2513968,PB,SÃO DOMINGOS DE POMBAL,83
60,2513653,PB,SANTARÉM,83
61,2513158,PB,SANTA CECÍLIA DO UMBUZEIRO,83
62,2512721,PB,PEDRO RÉGES,83
63,2516409,PB,CAMPO DE SANTANA,83
64,2501534,PB,BARAUNA,83
65,2415008,RN,VILA FLÔR,84
66,2412559,RN,SÃO MIGUEL DE TOUROS,84
67,2412302,RN,SÃO JOSÉ DE CAMPESTRE,84
68,2406155,RN,JUNDIA,84
69,2408706,RN,ESPÍRITO SANTO DO OESTE,84
70,2409308,RN,PATÚ,84
71,2401305,RN,CAMPO GRANDE,84
72,2405306,RN,BOA SAUDE,84
73,2306306,CE,ITAPAGÉ,85
74,2300150,CE,ACARAPÉ,85
75,2207793,PI,PAU DARCO DO PIAUÍ,86
76,2206050,PI,MASSÂPE DO PIAUÍ,89
77,2202455,PI,CAPITÃO GERVÁSIO DE OLIVEIRA,89
78,2108504,MA,PINDARÉ MIRIM,98
79,1720499,TO,SÃO VALÉRIO DA NATIVIDADE,63
80,1706001,TO,COUTO DE MAGALHÃES,63
81,1506500,PA,SANTA ISABEL DO PARÁ,91
82,4300034,RS,ACEGUA,53
83,1100379,RO,ALTO ALEGRE DO PARECIS,69
84,5300108,DF,BRASÍLIA,61
85,5222203,GO,VILA BOA,61
86,5222054,GO,VICENTINÓPOLIS,64
87,5222005,GO,VIANÓPOLIS,62
88,5221908,GO,VARJÃO,62
89,5221858,GO,VALPARAÍSO DE GOIÁS,61
90,5221809,GO,URUTAÍ,64
91,5221700,GO,URUANA,62
92,5221601,GO,URUAÇU,62
93,5221577,GO,UIRAPURU,62
94,5221551,GO,TURVELÂNDIA,64
95,5221502,GO,TURVÂNIA,64
96,5221452,GO,TROMBAS,62
97,5221403,GO,TRINDADE,62
98,5221304,GO,TRÊS RANCHOS,64
99,5221197,GO,TEREZÓPOLIS DE GOIÁS,62
100,5221080,GO,TERESINA DE GOIÁS,62
101,5221007,GO,TAQUARAL DE GOIÁS,62
102,5220702,GO,SÍTIO D'ABADIA,62
103,5220686,GO,SIMOLÂNDIA,62
104,5220603,GO,SILVÂNIA,62
105,5220504,GO,SERRANÓPOLIS,64
106,5220454,GO,SENADOR CANEDO,62
107,5220405,GO,SÃO SIMÃO,64
108,5220280,GO,SÃO PATRÍCIO,62
109,5220264,GO,SÃO MIGUEL DO PASSA QUATRO,62
110,5220207,GO,SÃO MIGUEL DO ARAGUAIA,62
111,5220157,GO,SÃO LUÍZ DO NORTE,62
112,5220108,GO,SÃO LUÍS DE MONTES BELOS,64
113,5220058,GO,SÃO JOÃO DA PARAÚNA,64
114,5220009,GO,SÃO JOÃO D'ALIANÇA,62
115,5219902,GO,SÃO FRANCISCO DE GOIÁS,62
116,5219803,GO,SÃO DOMINGOS,62
117,5219753,GO,SANTO ANTÔNIO DO DESCOBERTO,61
118,5219738,GO,SANTO ANTÔNIO DE GOIÁS,62
119,5219712,GO,SANTO ANTÔNIO DA BARRA,64
120,5219704,GO,SANTA TEREZINHA DE GOIÁS,62
121,5219605,GO,SANTA TEREZA DE GOIÁS,62
122,5219506,GO,SANTA ROSA DE GOIÁS,62
123,5219456,GO,SANTA RITA DO NOVO DESTINO,62
124,5219407,GO,SANTA RITA DO ARAGUAIA,64
125,5219357,GO,SANTA ISABEL,62
126,5219308,GO,SANTA HELENA DE GOIÁS,64
127,5219258,GO,SANTA FÉ DE GOIÁS,62
128,5219209,GO,SANTA CRUZ DE GOIÁS,64
129,5219100,GO,SANTA BÁRBARA DE GOIÁS,62
130,5219001,GO,SANCLERLÂNDIA,64
131,5218904,GO,RUBIATABA,62
132,5218805,GO,RIO VERDE,64
133,5218789,GO,RIO QUENTE,64
